2016-04-01	Once again the Trump organization shows they don't do their homework, understand the process, or hire the right people. "Make America Unprepared".
2016-04-01	Russ Gallegher ......BWAHHHHH!!!....Another know nothing goose stepping Drumpferette loser trying to carry the water for clueless, con-man, charlatan,fascists who is in way over has head and got exposed by Matthews....You gave some informed, intelligent posters here, nothing but TeabaggerthugKKK far right wing rhetoric babble, nothing of substance worth anything but flushing; typical bagger.
2016-04-01	Russ Gallegher Oh stop whining, want to run for president? then you are expected to know your positions and "I dont know doesnt cut it". He was unprepared and he should have been?
2016-04-01	Russ Gallegher Because a potential POTUS should only be prepared for one issue at a time, at a dullard's pace..... damn you trump-lickers are stupid.
2016-04-01	I hope Cruz is the GOP nominee. He would be easier for Hillary to beat than Trump.
2016-04-01	They both are likely to lose, but I think Trump would lose by a wider margin. That's what all the polls say at least.
2016-04-01	Daniel Warren Curtis I don't think so. If Cruz is the nominee Trump supporters will sit at home on election day. IMO
2016-04-01	Mark Wood Because they believe in America that much, right?
2016-04-01	It truly does not matter what the process is anymore. If Trump goes into the convention with more delegates than anyone else and looses the nomination the reaction will be fast and furious. The damage to the party that Trump has done is already a for gone conclusion allowed to happen by the GOP. What happens at the convention is only an extension of that failure.
2016-04-01	Agreed. The Republican Party is to blame for the rise of Trump. Trump, the GOP Presidential nominees, Priebus, Ryan, Republicans in Congress, and Republicans in general basically support the SAME unconscionable POLICIES. The blame lies primarily with the Republican Party, who support these monsters, that feeds on bigotry, fiscal irresponsibility, ignorance, warmongering, and HATE, media like FOX news, who welcomes/supports these ignorant Bigots. GOP and T-Party are one and the same, and Voters who voted for them are no better than this GOP FILTH: You propped them up, nurtured them, VOTED for...See More
2016-04-01	Daniel Williams NO, government in general is the reason for the rise in TRUMP. Government has done nothing but gridlock, politicians have lost touch with the taxpayers that support them, Vote themselves healthcare, retirement, excessive spending, etc. and then cast their power on the common people as if we are all idiots that need their expertise on every matter. the entitlements run rampent to the tune of $20T in overspending, honoring a democratic candidate that needs and will be arrested soon if it had not been for OBAMA sequester of the indictment papers, it would have already happened. TIRED of the same political maneuvers to get what they want. I believe the backlash will occur if Trump falls just short of 1237 and rightly so it should, shows the people's voice does not matter, but those of power and money take over.
2016-04-01	Daniel Neal no one is getting arrested, sweetie. Santa isn't coming. Settle,down.
2016-04-01	For someone who says he is the best at everything ... especially at negotiation ... he seems to be losing the game.   Maybe Trump can offer delegates free tuition at Trump University, or free rides on Trump Airlines or a free suscription to Trump Magazine.      The convention will be the best reality show ever ... and the GOP will turn to Donald and say "You're Fired"
2016-04-01	Dick....your zipper is calling.
2016-04-01	Well said Richard. Trump has a host of BAD DEALS and BUSINESS FAILURES: Trump University (D minus Better Business Rating) shutdown due to FRAUD and there is an ongoing class action lawsuit - http://www.politico.com/.../donald-trump-university . . . . .Trump Entertainment Resorts Inc. - 4 bankruptcies, ripping off America/Americans, – he was put on allowance because of his incompetent management. He manufactures overseas/import thousands of FOREIGN workers, fined for hiring illegals – said outsourcing is awesome. . . . Trump Mortgage, Trump Magazine, Trump Ice, Trump Game, Trump Vodka, etc. we...See More
2016-04-01	Richard Zipper, if Trump offered all the free stuff you suggested, he'd be a Democrat. They don't worry about how things get paid for either. I'll take it you're a Dem.
2016-04-01	#TheAprilFoolTrumpIsDone   I think it is finally safe to say that the Trump Is Done   #TheTrumpIsDone ...   Though I never believed he really wanted to be President ...   If he did, he'd then work for all of us   Do you really think "that ego" could handle working for us   I bet a wet pickle, he's out in 30 days   He'll make up a good reason ... that no one will believe
2016-04-01	It's not over until Chris Christie sings.
2016-04-01	Richard Joseph , Chris is gurgling on trump cum, I guess we can call that singing ,
2016-04-01	The man never even read the CLIFF NOTES, on GOV 101...Could not be bothered... he is so special that running the MOST POWERFUL COUNTRY IN THE WORLD, a piece of cake for the guy who ran 15 companies, into the ground, with BAD DECISIONS...      SO indeed, give him a few NUKES, to throw around...However, one good thing.... he didnt have a CLUE, what the TRIAD is... let's not tell him..
2016-04-01	Many people want to have good income at home but they dont know how to do that on Internet there are a lot of ways to earn huge amount of money, but whenever people try that they get trapped in a scam so I am sharing with you a genuine and guaranteed way for free to earn huge amount of money at home anyone interested should visit the page and i am more than sure that you will be succeed. Best Of Luck!   Regards a humble Human being.      Joine now ►►►►►►►►►►►►►►► https://www.facebook.com/Find-jobs-582286515256675/...
2016-04-01	Obama and Church Leaders PRAYED you’d never see   this…      Independent documentary has Obama on the edge of a   nervous breakdown…   Because it exposes the biggest cover up of his   presidency…   Something darker and more sinister than Sandy Hook   and Benghazi combined…   And it’s spreading like wild fire all over the ...See More
2016-04-01	Online concert for Bernie Sanders!   Justin Vernon, Aaron and Bryce Dessner & yMusic: "Love More" [Sharon Van Etten cover]   https://youtu.be/mLDwQtqrRPY      Women for Bernie Sanders 2016 (Facebook) shared --'All key indicators show Bernie Sanders will win the general election, possibly in a landslide. He’s the most popular politician in the country right now. Hillary Clinton would be in a tough fight and might lose to   the Republicans.' Latest Polls Bernie Sanders 54.6% Donald Trump 37.2%
2016-04-01	Let’s be CLEAR folks: I and others like Bernie and he may win a few primaries, but he is weak on foreign policy issues, his promises are often not realistic, he speaks in generalities (while Hillary give specifics/details), etc. and odds are he will lose in the general election as a socialist. The GOP is hoping that the Democrats will be FOOLISH enough to make Bernie their nominee – Republicans are lying in wait with negative opposition research and negative ads on Bernie, just waiting to pounce and label Sanders a flaming socialist. Notice how the GOP is NOT attacking Bernie (who has been g...See More
2016-04-01	To even waste a thought that Bernie would be able to somehow get the nomination is completely and utterly ludicrous. The Democrat side has been chosen since Obama's last election in 2012. The Enabler has paid for this nomination and the DNC is more than happy to capitulate. It's more of a coranation than an actual election cycle. Our politics have become so horribly corrupt I can't imagine what things will be like in 20 years, we probably won't even vote by then.
2016-04-01	Zach and Daniel, you two could not be more ignorant of the current situation. His views on foreign policy are pretty clear from the debates and from what he's posted on his website.      Plus he outperforms Hillary versus the Republicans in LITERALLY every single national poll. Those same polls show that Hillary winning the nomination would almost GUARANTEE a Republican in the White House.
2016-04-01	Many people want to have good income at home but they dont know how to do that on Internet there are a lot of ways to earn huge amount of money, but whenever people try that they get trapped in a scam so I am sharing with you a genuine and guaranteed way for free to earn huge amount of money at home anyone interested should visit the page and i am more than sure that you will be succeed. Best Of Luck!   Regards a humble Human being.      https://www.facebook.com/Michelle-Sutton.../...
2016-04-01	It sort of makes sense; Wisconsin is close to the country in which Rrrrrafael Eduarrrdo was naturally born.
2016-04-01	Yes, Teddy "The Canadian"Cruz probably feels homesick pangs every time he passes a Tim Horton's or smells tar sands and maple syrup.
2016-04-01	ᴍʏ Fʀɪᴇɴᴅ's ᴍᴏᴍ ᴍᴀᴋᴇs $73 ʜᴏᴜʀʟʏ ᴏɴ ᴛʜᴇ ᴄᴏᴍᴘᴜᴛᴇʀ . Sʜᴇ ʜᴀs ʙᴇᴇɴ ᴏᴜᴛ ᴏғ ᴀ ᴊᴏʙ ғᴏʀ 7 ᴍᴏɴᴛʜs ʙᴜᴛ ʟᴀsᴛ ᴍᴏɴᴛʜ ʜᴇʀ ᴄʜᴇᴄᴋ ᴡᴀs $20864 ᴊᴜsᴛ ᴡᴏʀᴋɪɴɢ ᴏɴ ᴛʜᴇ ᴄᴏᴍᴘᴜᴛᴇʀ ғᴏʀ ᴀ ғᴇᴡ ʜᴏᴜʀs.      click this link   https://www.facebook.com/548044875376219/...
2016-04-01	So all the Republican's have for 2016 is   " Vote for Ted Cruz. He's slightly less racist then Trump."
2016-04-01	You just hate hispanics.
2016-04-01	That's the mantra of the Establishment media. They wouldn't lie, would they?
2016-04-01	Cruz CANNOT be a Natural Born Citizen   United States V. Wong Kim Ark (1898), the Supreme Court said this:   “…A person born out of the jurisdiction of the United States can only become a citizen by being naturalized, either by treaty, as in the case of the annexation of foreign territory, or by authority of Congress, exercised either by declaring certain classes of persons to be citizens, as in the enactments conferring citizenship upon foreign-born children of citizens, or by enabling foreigners individually to become citizens…”   Here’s how Supreme Court Justice Hugo Black, who wrote the majority...See More
2016-04-01	Hillary already gave up on Wisconsin because she's focusing on New York. If she loses there, she loses all her momentum and we'll have a repeat of what happened to her versus Obama in 2008. I, for one, hope that is the case. Bernie Sanders significantly outperforms her in the head-to-head versus all of the Republican candidates.      Besides, I know a lot disenfranchised former Democratic voters that just don't trust her and would rather vote third party or independent than support another lying, big money candidate that's backtracked on almost every single issue.
2016-04-01	Home made Apple Pie recipe brought to you by #feelthebern   Wisconsin & New York & Homemade Apple Pie!   Enjoy this Apple Pie recipe - Homemade Apple Pie! Dishin' With Di https://youtu.be/DEySt9IPtsc      Wisconsin Women for Bernie Sanders shared -- Vote early for Bernie Until April 1.   You can do this in 2 ways.   1- Go to your local office municical clerk's office.   2- Request, fillout, & mail in an absentee ballot.
2016-04-01	What third party? Wake up .. wake up, 23 more states to go ..
2016-04-01	Bernie can't win. However, the issues that he's brought to the table are important. It's made the party stronger      Not only that but, with him in the race it will keep Hillary focused and out of trouble.      Thanks Bernie!!!
