2016-04-12	So let's review things he thought were good ideas, repeal Glass Stegal - great recession, NAFTA, NK deal. Sorry Bill but your legacy of failure you have no cred.
2016-04-12	@Anthony Prime, 23M Jobs, only budget surplus in our lifetimes, no major wars are a legacy of failure? Oh and what of note has you Uncle Bernie ever achieved to match??? Shameful
2016-04-12	|Mwema Kerich - Like all Presidents, often too much blame and too much credit are assigned to Presidents. Giving Bill credit for a budget surplus is a huge stretch because it would not have existed with the budget proposals he submitted to Congress so some credit for the questionable budget surplus does belong with Congress. Anthony seems to be suggesting Glass Stegal and the fact it was repealed under Bill Clinton as a major factor contributing to or causing the great rececssion which I am guessing was the global financial meltdown at the end of the Bush era.

While the repeal of Glass Steaga...See More|
2016-04-12	Todd Smith - I see where you're going. Clintons = evil, bad, corrupt, liars. Bernie = a saint, never lies, good ideas, revolution, etc, etc. Except, Bernie is a loser, a fraud and playing his supporters for the suckers they are $27 at a time.
2016-04-12	I'm sad President Clinton, after 8 years in office, doesn't see any danger in allowing folks with the potential to kill me and mine - because of their belief system - unfettered access to our country. I'm a live and let live kind of guy. For example, I stop for gopher turtles (common here in central FL). I also brake for squirrles. And while mowing, I stop and wait for a snake to slither out of the path. However, when wasps build a nest by my front door I don't dither. Niether do I wait for them to first sting my grandson or wife before taking action. Instead, I kill them ASAP. Why? It's becau...See More
2016-04-12	Sure Bill. Muslims have been so good for the country so far. All one has to do is look to Dearborn and Minneapolis to see how much they have helped. They were also great in the deconstruction of the World Trade Centers. And the Mosques they build are great when it comes to recruiting and training more bombers. Shut up and go away and take your dumbass wife with you.
2016-04-12	|That syphilis has finally come home to roost..

A new ICM poll has discovered two out of three Muslims in Britain would not give the government any information if they knew details about a terror plot.|
2016-04-12	|Any serious student of history should be seriously suspicious of allowing mass Muslim migration into this country.

From the beginnings of Islam until today, they have an unfortunate tendency towards jihad. They destroyed Western Roman civilization in the Middle East, North Africa, and Turkey. And sadly, Islam has never undergone the Reformation that Christianity did in the 16th and 17th centuries.

Importing a bunch of Muslims from Muslim countries is simply not a good idea. I'm sorry, political correctness fails here because far too many practitioners of Islam simply refuse to accept Western liberal values. You can't grant tolerance to the intolerant, and if the Democratic Party doesn't recognize that, it should be disavowed.|
2016-04-12	LOL... Well, duh... Of course the GOP doesn't....
2016-04-12	|Most of us want to have good income but dont know how to do that on Internet there are a lot of methods to earn huge sum at home, but whenever Buddies try that they get trapped in a scam/fraud so I thought to share with you a genuine and guaranteed method for free to earn huge sum of money at home anyone of you interested should visit the page. I am more than sure that you will get best result.

Best Of Luck for new Initiative!

https://www.facebook.com/RaDo-HiLl-ViEw-1380250298904681/...|
2016-04-12	Ajay Paliwal get lost with your scam you dot head!
2016-04-12	But many of the people do. Doesn't THAT count for ANYTHING? Don't the poeple have a vote any more? Or is it just what the big ole boys want?
2016-04-12	It's never been a popular election. In this country universal suffrage does not mean elections purely by popular vote.
2016-04-12	No it does not
2016-04-12	Republicans have been suppressing votes for years now. It was only a matter of time before they started suppressing Republican votes.
2016-04-12	|What other candidate in either Party screams "UNFAIR!" when their Party doesn't alter their Nomination process to accommodate them? What other candidate screams "UNFAIR!" as much as The Donald?
Why am I reminded of Anderson Cooper's cooment about the 5 year old mentality?|
2016-04-12	If donald can't play by the rules, then he shouldn't be able to play. Shouting at people and calling them names is what children do when they take a tantrum. Go home, donald. Your wife could use some help removing all that make up that she probably puts on wth a trowel.
2016-04-12	|Ann Lily Dash nice try...

https://en.m.wikipedia.org/wiki/Ad_hominem|
2016-04-12	Jamie Berry . . . Interesting retort, considering the content of so many of Trump's tweeting hissy fits in response to criticism. No defense related to the criticism . . . usually not even a mention of it . . . just name calling, insults, and put-downs. Nice try, though. ((One of hundreds of examples: "SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!"))
2016-04-12	What was your first clue, Einstein?
2016-04-12	|::> Google job WITHOUT INVESTMENT <::
I j­­­u­­­s­­­t g­­­o­­­t p­­­a­­­i­­­d $­­­6­­­7­­­8­­­4 w­­­o­­­r­­­k­­­i­­­n­­­g o­­­f­­­f m­­­y l­­­a­­­p­­­t­­­o­­­p t­­­h­­­i­­­s m­­­o­­­n­­­t­­­h. A­­­n­­­d i­­­f y­­­o­­­u t­­­h­­­i­­­n­­­k t­­­h­­­a­­­t­­­'­­­s c­­­o­­­o­­­l, ­­­m­­­y d­­­i­­­v­­­o­­­r­­­c­­­e­­­d f­­­r­­­i­­­e­­­n­­­d h­­­a­­­s t­­­w­­­i­­­n t­­­o­­­d­­­d­­­le­­­r­­­s a­­­n­­­d m­­­a­­­d­­­e o­­­v­­­e­­­r $­­­9­­­k h­­­e­­­r f­­­i­­­r­­­s­­­t m­­­o­­­n­­­t­­­h. I­­­t f­­­e­­­e­­­l­­­s s­­­o g­­­o­­­o­­­d­­­ m­­­a­­­k­­­i­­­n­­­g s­­­o m­­­u­­­c­­­h m­­­o­­­n­­­e­­­y w­­­h­­­e­­­n o­­­t­­­h­­­e­­­r p­­­e­­­o­­­ple h­­­a­­­v­­­e t­­­o w­­­o­­­r­­­k f­­­o­­­r s­­­o m­­­u­­­c­­­h l­­­e­­­s­­­s. T­­­h­­­i­­­s i­­­s w­­­h­­­a­­­t I­­­ d­­­o­­­,:

Joine now ►►►►► https://www.facebook.com/Soza-Mony-1540556929574465/...|
2016-04-12	'Trump: RNC doesn't want me to win'' ,No Shit Sherlock
2016-04-13	And this is why the majority party is looked upon as the doomed party. Can't get a budget done or agreed upon that had already been agreed upon in the House. The Senate refuses to do their Constitutional duty of advice and consent to make the Supreme Court of the US functional. The GOP has made a joke at serving the American public with the Keystone Cops as candidates for nominee for President of the US. All self inflicted wounds. All created by the GOP itself. You just can't fix dysfunctional/stupid.
2016-04-13	|No budget, no SCOTUS hearings.

WTF what do these idiots do all day?

Oh right........BENGHAAAAAAAAZI hearings.

(And they wonder why their party is in the toilet)|
2016-04-13	Neal, Nick, You fools. It has nothing to do with party lines. As soon as people like yourselves wake up to realize the problem is both Parties, the sooner we as americans can get over ourselves and fix the political system. Just as much was wrong when the democrats were running things. I mean a bunch of lawyers passed a massive health care bill in a few months. They know nothing about health care and most of them admitted they did not know what was in the bill. Then no budget was passed for years. When Reid ran the senate, he only brought up votes for the things he wanted to. Now don't...See More
2016-04-13	Chas Hayter Chas would you pleeeese go back and study, the process of the ACA instead of believeing the stuff you hear and already discount from the right. The ACA was compromised several times to make the right happy and every time they moved the goal post. I know you have finally seen the dis-function of the right, but remember that is the also part of what they are brain washing your think. If what YOu said was factual, the ACA would have been ONE PAYER SYSTEM.
2016-04-13	|Voters are asking themselves if the GOP/TEA Party is fit to govern our nation. How they answer that question will determine the 2016 elections.

This I know: The Republican Party has become the Party of NO!!

The GOP/TEA Party of NO!! -- to Gun Control.
The GOP/TEA Party of NO!! -- to addressing Climate Change.
The GOP/TEA Party of NO!! -- to Immigration Reform.
The GOP/TEA Party of NO!! -- to Pro-Choice.
The GOP/TEA Party of NO!! -- to Gay Rights.
The GOP/TEA Party of NO!! -- to Same Sex Marriage. ...See More|
2016-04-13	leo - that is why they call themselfs KKKONSERVATIVES - REPUB KKKONSERVATIVE EITHER DO NOTHING OR DAMN LITTLE - BUT THEY DO ALL THEY CAN TO STOP OTHERS FROM KEEPING THIS COUNTRY NOT ONLY GREAT , BUT KEEP US THAT WAY - THE KKKONSERVATIVE WANT EVERYTHING EVERYONE ELSE WANTS - THEY JUST DONT WANT TO PAY FOR IT -
2016-04-13	Leo, you are such and Democrat establishment stooge.
2016-04-13	Bob Beckman , and you are such an ignorant republican f*ck stain.
